,context,question,generated,Rouge-L,BERTScore,BLEURT,Self-BLEU
449,"He set out, and, as he crossed the potato field, came in sight of the castle, whose windows were ablaze with light that seemed to turn the russet leaves, still clinging to the crab-tree branches, into gold.  Halting in the grove at one side of the ruin, he listened to the elfin revelry. The laughter and singing made him all the more determined to proceed.  Numbers of little people, the largest about the size of a child of five years old, were dancing to the music of flutes and fiddles, while others drank and feasted.  ""Welcome, Jamie Freel! Welcome, welcome, Jamie!"" cried the company, perceiving their visitor. The word ""Welcome"" was caught up and repeated by every voice in the castle.  Time flew, and Jamie was enjoying himself very much, when his hosts said, ""We're going to ride to Dublin to-night to steal a young lady. Will you come, too, Jamie Freel?""  ""Ay, that I will,"" cried the rash youth, thirsting for adventure.  A troop of horses stood at the door. Jamie mounted, and his steed rose with him into the air. He was presently flying over his mother's cottage, surrounded by the elfin troop. On and on they went, over bold mountains, over little hills, over the deep Lough Swilley, over towns and cottages, where people were burning nuts and eating apples and keeping merry Halloween. It seemed to Jamie that they flew all round Ireland before they got to Dublin.  ""This is Derry,"" said the fairies, flying over the cathedral spire. What was said by one voice was repeated by all the rest, till fifty little voices were crying out, ""Derry! Derry! Derry!""",What did the little people invite Jamie to do?,"What did the little people do when they saw Jamie?, What did the little people invite Jamie to do?, What did the little people want Jamie to do?, What did the little people do after they invited Jamie?, What did the little people do after they invited Jamie?, Where did the little people fly to?, What did the little people do after they flew over Jamie's mother's cottage?, What did the little people do after they flew over the cathedral spire?, What did the little people say to Jamie?, What did the little people do after they said they would ride to Dublin to steal a young lady?, What did the little people do after they invited Jamie to ride to Dublin to steal a young lady?, What did Jamie do after he agreed to go with the little people?, What did the little people do after they flew over the cathedral spire?, What did Jamie do after he flew over his mother's cottage?, What did Jamie do after he was surrounded by the elfin troop?, What did Jamie do after he flew all round Ireland before they got to Dublin?","[0.631578947368421, 1.0, 0.8888888888888888, 0.631578947368421, 0.631578947368421, 0.6250000000000001, 0.5, 0.5454545454545455, 0.7058823529411765, 0.42857142857142855, 0.5, 0.4545454545454546, 0.5454545454545455, 0.380952380952381, 0.380952380952381, 0.33333333333333337]","[0.9455766, 1.0, 0.9719621, 0.9503501, 0.9503501, 0.93003964
, 0.9291862, 0.9186644, 0.953927, 0.90804464, 0.921897, 0.9395522
, 0.9186644, 0.9101538, 0.90556145, 0.8942834]","[0.5739368796348572, 0.9559566378593445, 0.8076322674751282, 0.6680719256401062, 0.6680719256401062, 0.360348641872406, 0.4244139790534973, 0.3329809904098511, 0.6236091256141663, 0.3431895971298218, 0.4314294457435608, 0.6016688346862793, 0.3329809904098511, 0.3495747148990631, 0.39219486713409424, 0.3668418824672699]","[0.5348259312838877, 0.6580370064762462, 0.6580370064762462, 1.0, 1.0, 0.3376459109063278, 0.7577395672414201, 1.0, 0.5307712171072443, 0.7483293841345244, 0.8702397637697912, 0.4682568791024402, 1.0, 0.7033686408407427, 0.4089601472043678, 0.4333207865423752]"
450,"In like manner was Jamie informed as they passed over each town on the route, and at length he heard the silvery voices cry, ""Dublin! Dublin!""  It was no mean dwelling that was to be honoured by the fairy visit, but one of the finest houses in Stephen's Green.  The troop dismounted near a window, and Jamie saw a beautiful face on a pillow in a splendid bed. He saw the young lady lifted and carried away, while the stick which was dropped in her place on the bed took her exact form.  The lady was placed before one rider and carried a short way, then given another, and the names of the towns were cried as before.  They were approaching home. Jamie heard ""Rathmullan,"" ""Milford,"" ""Tamney,"" and then he knew they were near his own house.  ""You've all had your turn at carrying the young lady,"" said he. ""Why wouldn't I get her for a wee piece?""  ""Ay, Jamie,"" replied they pleasantly, ""you may take your turn at carrying her, to be sure.""  Holding his prize very tightly he dropped down near his mother's door.  ""Jamie Freel! Jamie Freel! is that the way you treat us?"" cried they, and they, too, dropped down near the door.  Jamie held fast, though he knew not what he was holding, for the little folk turned the lady into all sorts of strange shapes. At one moment she was a black dog, barking and trying to bite. At another a glowing bar of iron, which yet had no heat; then again a sack of wool.  But still Jamie held her, and the baffled elves were turning away when a tiny woman, the smallest of the party, exclaimed, ""Jamie Freel has her awa frae us, but he sall nae hae gude of her, for I'll mak' her deaf and dumb,"" and she threw something over the young girl.",What did Jamie see when the troop dismounted near a window?,"What did the tiny woman do after she threw something over the young girl?, How did the elves feel after they saw Jamie with the young lady?, What did the elves turn into?","[0.23999999999999996, 0.24999999999999994, 0.3529411764705882]","[0.8799897, 0.89703417, 0.8876238]","[0.28162693977355957, 0.3470008969306946, 0.24145376682281494]","[0.08947853200770763, 0.09002693391848274, 0.08993236413460198]"
451,"In like manner was Jamie informed as they passed over each town on the route, and at length he heard the silvery voices cry, ""Dublin! Dublin!""  It was no mean dwelling that was to be honoured by the fairy visit, but one of the finest houses in Stephen's Green.  The troop dismounted near a window, and Jamie saw a beautiful face on a pillow in a splendid bed. He saw the young lady lifted and carried away, while the stick which was dropped in her place on the bed took her exact form.  The lady was placed before one rider and carried a short way, then given another, and the names of the towns were cried as before.  They were approaching home. Jamie heard ""Rathmullan,"" ""Milford,"" ""Tamney,"" and then he knew they were near his own house.  ""You've all had your turn at carrying the young lady,"" said he. ""Why wouldn't I get her for a wee piece?""  ""Ay, Jamie,"" replied they pleasantly, ""you may take your turn at carrying her, to be sure.""  Holding his prize very tightly he dropped down near his mother's door.  ""Jamie Freel! Jamie Freel! is that the way you treat us?"" cried they, and they, too, dropped down near the door.  Jamie held fast, though he knew not what he was holding, for the little folk turned the lady into all sorts of strange shapes. At one moment she was a black dog, barking and trying to bite. At another a glowing bar of iron, which yet had no heat; then again a sack of wool.  But still Jamie held her, and the baffled elves were turning away when a tiny woman, the smallest of the party, exclaimed, ""Jamie Freel has her awa frae us, but he sall nae hae gude of her, for I'll mak' her deaf and dumb,"" and she threw something over the young girl.",Where did the young lady live?,"What did the elves turn into at one moment?, What did the elf woman throw over the young girl?","[0.26666666666666666, 0.37499999999999994]","[0.8838539, 0.9153432]","[0.19934353232383728, 0.2716912627220154]","[0.10156297514737136, 0.10025157431478134]"
452,"In like manner was Jamie informed as they passed over each town on the route, and at length he heard the silvery voices cry, ""Dublin! Dublin!""  It was no mean dwelling that was to be honoured by the fairy visit, but one of the finest houses in Stephen's Green.  The troop dismounted near a window, and Jamie saw a beautiful face on a pillow in a splendid bed. He saw the young lady lifted and carried away, while the stick which was dropped in her place on the bed took her exact form.  The lady was placed before one rider and carried a short way, then given another, and the names of the towns were cried as before.  They were approaching home. Jamie heard ""Rathmullan,"" ""Milford,"" ""Tamney,"" and then he knew they were near his own house.  ""You've all had your turn at carrying the young lady,"" said he. ""Why wouldn't I get her for a wee piece?""  ""Ay, Jamie,"" replied they pleasantly, ""you may take your turn at carrying her, to be sure.""  Holding his prize very tightly he dropped down near his mother's door.  ""Jamie Freel! Jamie Freel! is that the way you treat us?"" cried they, and they, too, dropped down near the door.  Jamie held fast, though he knew not what he was holding, for the little folk turned the lady into all sorts of strange shapes. At one moment she was a black dog, barking and trying to bite. At another a glowing bar of iron, which yet had no heat; then again a sack of wool.  But still Jamie held her, and the baffled elves were turning away when a tiny woman, the smallest of the party, exclaimed, ""Jamie Freel has her awa frae us, but he sall nae hae gude of her, for I'll mak' her deaf and dumb,"" and she threw something over the young girl.",How did Jamie know they were near his own house?,"What did the elves turn into when they were turning away?, What did the elf do when she threw something over the young girl?","[0.28571428571428564, 0.08695652173913043]","[0.8791809, 0.88715065]","[0.2770242691040039, 0.3250035047531128]","[0.08107995074411864, 0.08032276872815308]"
453,"In like manner was Jamie informed as they passed over each town on the route, and at length he heard the silvery voices cry, ""Dublin! Dublin!""  It was no mean dwelling that was to be honoured by the fairy visit, but one of the finest houses in Stephen's Green.  The troop dismounted near a window, and Jamie saw a beautiful face on a pillow in a splendid bed. He saw the young lady lifted and carried away, while the stick which was dropped in her place on the bed took her exact form.  The lady was placed before one rider and carried a short way, then given another, and the names of the towns were cried as before.  They were approaching home. Jamie heard ""Rathmullan,"" ""Milford,"" ""Tamney,"" and then he knew they were near his own house.  ""You've all had your turn at carrying the young lady,"" said he. ""Why wouldn't I get her for a wee piece?""  ""Ay, Jamie,"" replied they pleasantly, ""you may take your turn at carrying her, to be sure.""  Holding his prize very tightly he dropped down near his mother's door.  ""Jamie Freel! Jamie Freel! is that the way you treat us?"" cried they, and they, too, dropped down near the door.  Jamie held fast, though he knew not what he was holding, for the little folk turned the lady into all sorts of strange shapes. At one moment she was a black dog, barking and trying to bite. At another a glowing bar of iron, which yet had no heat; then again a sack of wool.  But still Jamie held her, and the baffled elves were turning away when a tiny woman, the smallest of the party, exclaimed, ""Jamie Freel has her awa frae us, but he sall nae hae gude of her, for I'll mak' her deaf and dumb,"" and she threw something over the young girl.",Why did Jamie not know what he was holding?,"What did the elves turn into at one moment?, What did the elf do after she threw something over the young girl?","[0.1111111111111111, 0.09090909090909093]","[0.8776824, 0.8895475]","[0.27012577652931213, 0.30075791478157043]","[0.0752397025358172, 0.07596458453655348]"
454,"In like manner was Jamie informed as they passed over each town on the route, and at length he heard the silvery voices cry, ""Dublin! Dublin!""  It was no mean dwelling that was to be honoured by the fairy visit, but one of the finest houses in Stephen's Green.  The troop dismounted near a window, and Jamie saw a beautiful face on a pillow in a splendid bed. He saw the young lady lifted and carried away, while the stick which was dropped in her place on the bed took her exact form.  The lady was placed before one rider and carried a short way, then given another, and the names of the towns were cried as before.  They were approaching home. Jamie heard ""Rathmullan,"" ""Milford,"" ""Tamney,"" and then he knew they were near his own house.  ""You've all had your turn at carrying the young lady,"" said he. ""Why wouldn't I get her for a wee piece?""  ""Ay, Jamie,"" replied they pleasantly, ""you may take your turn at carrying her, to be sure.""  Holding his prize very tightly he dropped down near his mother's door.  ""Jamie Freel! Jamie Freel! is that the way you treat us?"" cried they, and they, too, dropped down near the door.  Jamie held fast, though he knew not what he was holding, for the little folk turned the lady into all sorts of strange shapes. At one moment she was a black dog, barking and trying to bite. At another a glowing bar of iron, which yet had no heat; then again a sack of wool.  But still Jamie held her, and the baffled elves were turning away when a tiny woman, the smallest of the party, exclaimed, ""Jamie Freel has her awa frae us, but he sall nae hae gude of her, for I'll mak' her deaf and dumb,"" and she threw something over the young girl.",What did the lady try to do when she was a black dog?,"What did the elves turn into at one moment?, What did the elf woman throw over the young girl?","[0.27272727272727276, 0.2608695652173913]","[0.8821135, 0.90007246]","[0.25178226828575134, 0.2956678867340088]","[0.10156297514737136, 0.10025157431478134]"
455,"In like manner was Jamie informed as they passed over each town on the route, and at length he heard the silvery voices cry, ""Dublin! Dublin!""  It was no mean dwelling that was to be honoured by the fairy visit, but one of the finest houses in Stephen's Green.  The troop dismounted near a window, and Jamie saw a beautiful face on a pillow in a splendid bed. He saw the young lady lifted and carried away, while the stick which was dropped in her place on the bed took her exact form.  The lady was placed before one rider and carried a short way, then given another, and the names of the towns were cried as before.  They were approaching home. Jamie heard ""Rathmullan,"" ""Milford,"" ""Tamney,"" and then he knew they were near his own house.  ""You've all had your turn at carrying the young lady,"" said he. ""Why wouldn't I get her for a wee piece?""  ""Ay, Jamie,"" replied they pleasantly, ""you may take your turn at carrying her, to be sure.""  Holding his prize very tightly he dropped down near his mother's door.  ""Jamie Freel! Jamie Freel! is that the way you treat us?"" cried they, and they, too, dropped down near the door.  Jamie held fast, though he knew not what he was holding, for the little folk turned the lady into all sorts of strange shapes. At one moment she was a black dog, barking and trying to bite. At another a glowing bar of iron, which yet had no heat; then again a sack of wool.  But still Jamie held her, and the baffled elves were turning away when a tiny woman, the smallest of the party, exclaimed, ""Jamie Freel has her awa frae us, but he sall nae hae gude of her, for I'll mak' her deaf and dumb,"" and she threw something over the young girl.",What did the tiny woman do to the young girl?,"What did the tiny woman do after she threw something over the young girl?, How did the elves feel after they saw Jamie with the young lady?, What did the elves turn into?","[0.75, 0.34782608695652173, 0.37499999999999994]","[0.9511642, 0.90460235, 0.9046267]","[0.6170336008071899, 0.3840460181236267, 0.2831669747829437]","[0.08947853200770763, 0.09002693391848274, 0.08993236413460198]"
456,"While they rode off, disappointed, Jamie Freel lifted the latch and went in.  ""Jamie man!"" cried his mother, ""you've been away all night. What have they done on you?""  ""Naething bad, mother. I have the very best o' gude luck. Here's a beautiful young lady I hae brought you for company.""  ""Bless us and save us!"" exclaimed his mother. For some minutes she was so astonished she could not think of anything else to say.  Jamie told the story of the night's adventure, ending by saying, ""Surely you wouldna have allowed me to let her gang with them to be lost for ever?""  ""But a lady, Jamie! How can a lady eat we'er (our) poor diet and live in we'er poor way? I ax you that, you foolitch fellow!""  ""Well, mother, sure it's better for her to be over here nor yonder,"" and he pointed in the direction of the castle.  Meanwhile the deaf and dumb girl shivered in her light clothing, stepping close to the humble turf fire.  ""Poor crathur, she's quare and handsome! Nae wonder they set their hearts on her,"" said the old woman, gazing at their guest with pity and admiration. ""We maun dress her first. What in the name o' fortune have I fit for the likes of her to wear?""  She went to her press in ""the room"" and took out her Sunday gown of brown drugget. She then opened a drawer and drew forth a pair of white stockings, a long snowy garment of fine linen, and a cap, her ""dead dress,"" as she called it.",How did Jamie's mother feel when Jamie brought home the young girl?,"What did Jamie Freel's mother call the girl?, What did Jamie Freel's mother take out of her press?, What did Jamie Freel's mother call the girl's dress?, How did Jamie Freal's mother feel after her son told her about the girl?, What did the deaf and dumb girl do after she stepped close to the humble turf fire?, What did the girl look like?, Why did the girl shiver?, What did the girl wear to church on Sundays?","[0.5454545454545455, 0.33333333333333337, 0.4999999999999999, 0.5714285714285715, 0.20000000000000004, 0.3157894736842105, 0.33333333333333337, 0.27272727272727276]","[0.9155183, 0.8886328, 0.91059107, 0.933449, 0.87148076, 0.891618
, 0.9031981, 0.89456975]","[0.404865562915802, 0.32160601019859314, 0.36194124817848206, 0.636319100856781, 0.28172966837882996, 0.3669620752334595, 0.25122806429862976, 0.2918792963027954]","[0.9621954581957615, 0.44833867003844585, 0.7292571723872933, 0.08408492817195343, 0.06607677554655543, 0.4347208719449914, 0.1837868600016897, 0.2907153684841096]"
457,"While they rode off, disappointed, Jamie Freel lifted the latch and went in.  ""Jamie man!"" cried his mother, ""you've been away all night. What have they done on you?""  ""Naething bad, mother. I have the very best o' gude luck. Here's a beautiful young lady I hae brought you for company.""  ""Bless us and save us!"" exclaimed his mother. For some minutes she was so astonished she could not think of anything else to say.  Jamie told the story of the night's adventure, ending by saying, ""Surely you wouldna have allowed me to let her gang with them to be lost for ever?""  ""But a lady, Jamie! How can a lady eat we'er (our) poor diet and live in we'er poor way? I ax you that, you foolitch fellow!""  ""Well, mother, sure it's better for her to be over here nor yonder,"" and he pointed in the direction of the castle.  Meanwhile the deaf and dumb girl shivered in her light clothing, stepping close to the humble turf fire.  ""Poor crathur, she's quare and handsome! Nae wonder they set their hearts on her,"" said the old woman, gazing at their guest with pity and admiration. ""We maun dress her first. What in the name o' fortune have I fit for the likes of her to wear?""  She went to her press in ""the room"" and took out her Sunday gown of brown drugget. She then opened a drawer and drew forth a pair of white stockings, a long snowy garment of fine linen, and a cap, her ""dead dress,"" as she called it.","What did Jamie's mother take from ""the room?""","What did Jamie Freel's mother call the girl?, What did Jamie Freel's mother take out of her press?, What did Jamie Freel's mother call the girl's dress?, How did Jamie Freal's mother feel after her son told her about the girl?, What did the deaf and dumb girl do after she stepped close to the humble turf fire?, What did the girl look like?, What did the girl wear to church?, What did the girl wear on her head?, What did the girl wear on her feet?, What did the girl wear on her hands?, What did the girl wear on her body?, What did the girl wear on her head?, What did the girl wear on her feet?, What did the girl wear on her hands?, What did the girl wear on her body?, What did the girl wear on her head?, What did the girl wear on her feet?, What did the girl wear on her feet?, What did the girl wear on her hands?, What did the girl wear on her body?, What did the girl wear on her head?, What did the girl wear on her feet?, What did the girl wear on her feet?, What did the girl wear on her hands?, What did the girl wear on her body?, What did the girl wear on her head?, What did the girl wear on her feet?, What did the girl wear on her hands?, What did the girl wear on her body?, What did the girl wear on her head?, What did the girl wear on her feet?, What did the girl wear on her hands?, What did the girl wear on her body?, What did the girl wear on her head?, What did the girl wear on her feet?, What did the girl wear on her hands?, What did the girl wear on her body?, What did the girl wear on her head?, What did the girl wear on her feet?, What did the girl wear on her hands?, What did the girl wear on her body?, What did the girl wear on her head?, What did the girl wear on her feet?, What did the girl wear on her hands?, What did the girl wear on her body?, What did the girl wear on her head?, What did the girl wear on her feet?, What did the girl wear on her hands?, What did the girl wear on her body?, What did the girl wear on her head?, What did the girl wear on her feet?, What did the girl wear on her hands?, What did the girl wear on her body?, What did the girl wear on her head?, What did the girl wear on her feet?, What did the girl wear on","[0.6666666666666666, 0.6, 0.6, 0.4166666666666667, 0.23076923076923078, 0.4, 0.375, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.4]","[0.9132759, 0.9155977, 0.90961784, 0.89504915, 0.86339724, 0.88830185
, 0.91050404, 0.90068626, 0.9002937, 0.9008008, 0.89941466, 0.90068626
, 0.9002937, 0.9008008, 0.89941466, 0.90068626, 0.9002937, 0.9002937
, 0.9008008, 0.89941466, 0.90068626, 0.9002937, 0.9002937, 0.9008008
, 0.89941466, 0.90068626, 0.9002937, 0.9008008, 0.89941466, 0.90068626
, 0.9002937, 0.9008008, 0.89941466, 0.90068626, 0.9002937, 0.9008008
, 0.89941466, 0.90068626, 0.9002937, 0.9008008, 0.89941466, 0.90068626
, 0.9002937, 0.9008008, 0.89941466, 0.90068626, 0.9002937, 0.9008008
, 0.89941466, 0.90068626, 0.9002937, 0.9008008, 0.89941466, 0.90068626
, 0.9002937, 0.8825121]","[0.37571561336517334, 0.44939225912094116, 0.3549671769142151, 0.3464275598526001, 0.263308584690094, 0.2445365935564041, 0.24134066700935364, 0.25166863203048706, 0.23924751579761505, 0.2559050917625427, 0.26157963275909424, 0.25166863203048706, 0.23924751579761505, 0.2559050917625427, 0.26157963275909424, 0.25166863203048706, 0.23924751579761505, 0.23924751579761505, 0.2559050917625427, 0.26157963275909424, 0.25166863203048706, 0.23924751579761505, 0.23924751579761505, 0.2559050917625427, 0.26157963275909424, 0.25166863203048706, 0.23924751579761505, 0.2559050917625427, 0.26157963275909424, 0.25166863203048706, 0.23924751579761505, 0.2559050917625427, 0.26157963275909424, 0.25166863203048706, 0.23924751579761505, 0.2559050917625427, 0.26157963275909424, 0.25166863203048706, 0.23924751579761505, 0.2559050917625427, 0.26157963275909424, 0.25166863203048706, 0.23924751579761505, 0.2559050917625427, 0.26157963275909424, 0.25166863203048706, 0.23924751579761505, 0.2559050917625427, 0.26157963275909424, 0.25166863203048706, 0.23924751579761505, 0.2559050917625427, 0.26157963275909424, 0.25166863203048706, 0.23924751579761505, 0.20962437987327576]","[0.9621954581957615, 0.44833867003844585, 0.7292571723872933, 0.08408492817195343, 0.06607677554655543, 0.4347208719449914, 0.5623413251903491, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.846481724890614]"
458,"These articles of attire had long been ready for a certain triste ceremony, in which she would some day fill the chief part, and only saw the light occasionally when they were hung out to air. She was willing to give even these to the fair trembling visitor, who was turning in dumb sorrow and wonder from her to Jamie, and from Jamie back to her.  The poor girl suffered herself to be dressed, and then sat down on a ""creepie"" in the chimney corner and buried her face in her hands.  ""What'll we do to keep up a lady like you?"" cried the old woman.  ""I'll work for you both, mother,"" replied the son.  ""An' how could a lady live on we'er poor diet?"" she repeated.  ""I'll work for her,"" was all Jamie's answer.  He kept his word. The young lady was very sad for a long time, and tears stole down her cheeks many an evening, while the old woman span by the fire and Jamie made salmon nets, an accomplishment acquired by him in hopes of adding to the comfort of their guest.  But she was always gentle, and tried to smile when she perceived them looking at her. By degrees she adapted herself to their ways and mode of life. It was not very long before she began to feed the pig, mash potatoes and meal for the fowls, and knit blue worsted socks.  So a year passed and Halloween came round again. ""Mother,"" said Jamie, taking down his cap, ""I'm off to the old castle to seek my fortune.""",What did Jamie say he would do when his mother asked how a lady could live on their poor diet?,"What did the young lady do by the fire?, What did Jamie do in hopes of adding to the comfort of their guest?","[0.20689655172413793, 0.2941176470588235]","[0.8844087, 0.8881315]","[0.2767181396484375, 0.3484650254249573]","[0.03403984908815123, 0.03514847831369806]"
459,"These articles of attire had long been ready for a certain triste ceremony, in which she would some day fill the chief part, and only saw the light occasionally when they were hung out to air. She was willing to give even these to the fair trembling visitor, who was turning in dumb sorrow and wonder from her to Jamie, and from Jamie back to her.  The poor girl suffered herself to be dressed, and then sat down on a ""creepie"" in the chimney corner and buried her face in her hands.  ""What'll we do to keep up a lady like you?"" cried the old woman.  ""I'll work for you both, mother,"" replied the son.  ""An' how could a lady live on we'er poor diet?"" she repeated.  ""I'll work for her,"" was all Jamie's answer.  He kept his word. The young lady was very sad for a long time, and tears stole down her cheeks many an evening, while the old woman span by the fire and Jamie made salmon nets, an accomplishment acquired by him in hopes of adding to the comfort of their guest.  But she was always gentle, and tried to smile when she perceived them looking at her. By degrees she adapted herself to their ways and mode of life. It was not very long before she began to feed the pig, mash potatoes and meal for the fowls, and knit blue worsted socks.  So a year passed and Halloween came round again. ""Mother,"" said Jamie, taking down his cap, ""I'm off to the old castle to seek my fortune.""",How did the young lady feel for a long time?,"What did the young lady do by the fire?, What did Jamie do in hopes of adding to the comfort of their guest?","[0.4210526315789474, 0.16666666666666666]","[0.9213125, 0.884787]","[0.3487434387207031, 0.2941136956214905]","[0.03403984908815123, 0.03514847831369806]"
460,"These articles of attire had long been ready for a certain triste ceremony, in which she would some day fill the chief part, and only saw the light occasionally when they were hung out to air. She was willing to give even these to the fair trembling visitor, who was turning in dumb sorrow and wonder from her to Jamie, and from Jamie back to her.  The poor girl suffered herself to be dressed, and then sat down on a ""creepie"" in the chimney corner and buried her face in her hands.  ""What'll we do to keep up a lady like you?"" cried the old woman.  ""I'll work for you both, mother,"" replied the son.  ""An' how could a lady live on we'er poor diet?"" she repeated.  ""I'll work for her,"" was all Jamie's answer.  He kept his word. The young lady was very sad for a long time, and tears stole down her cheeks many an evening, while the old woman span by the fire and Jamie made salmon nets, an accomplishment acquired by him in hopes of adding to the comfort of their guest.  But she was always gentle, and tried to smile when she perceived them looking at her. By degrees she adapted herself to their ways and mode of life. It was not very long before she began to feed the pig, mash potatoes and meal for the fowls, and knit blue worsted socks.  So a year passed and Halloween came round again. ""Mother,"" said Jamie, taking down his cap, ""I'm off to the old castle to seek my fortune.""",What did Jamie do while the old woman span by the fire?,"What did the young lady do by the fire?, What did Jamie do in hopes of adding to the comfort of their guest?","[0.5714285714285715, 0.3846153846153846]","[0.9373103, 0.8919374]","[0.4649707078933716, 0.34477198123931885]","[0.03403984908815123, 0.03514847831369806]"
461,"These articles of attire had long been ready for a certain triste ceremony, in which she would some day fill the chief part, and only saw the light occasionally when they were hung out to air. She was willing to give even these to the fair trembling visitor, who was turning in dumb sorrow and wonder from her to Jamie, and from Jamie back to her.  The poor girl suffered herself to be dressed, and then sat down on a ""creepie"" in the chimney corner and buried her face in her hands.  ""What'll we do to keep up a lady like you?"" cried the old woman.  ""I'll work for you both, mother,"" replied the son.  ""An' how could a lady live on we'er poor diet?"" she repeated.  ""I'll work for her,"" was all Jamie's answer.  He kept his word. The young lady was very sad for a long time, and tears stole down her cheeks many an evening, while the old woman span by the fire and Jamie made salmon nets, an accomplishment acquired by him in hopes of adding to the comfort of their guest.  But she was always gentle, and tried to smile when she perceived them looking at her. By degrees she adapted herself to their ways and mode of life. It was not very long before she began to feed the pig, mash potatoes and meal for the fowls, and knit blue worsted socks.  So a year passed and Halloween came round again. ""Mother,"" said Jamie, taking down his cap, ""I'm off to the old castle to seek my fortune.""",What did the young lady do whenever she perceived them looking at her>,"What did the young lady do by the fire?, What did Jamie do in hopes of adding to the comfort of their guest?","[0.5454545454545455, 0.22222222222222224]","[0.9067112, 0.884371]","[0.4059485197067261, 0.37662217020988464]","[0.03403984908815123, 0.03514847831369806]"
