,id,context,question,generated,Rouge-L,BERTScore,BLEURT,Self-BLEU
134,135,"There was once a king, called King O'Toole, who was a fine old king in the old ancient times, long ago. It was him that owned the Churches in the early days.  ""Surely,"" said I, ""the Churches were not in King O'Toole's time?""  ""Oh, by no means, your honor--truth, it's yourself that's right enough there. But you know the place is called 'The Churches' because they were built after by St. Kavin, and went by the name of the Churches ever more. Therefore, of course, the place bein' so called, I say that the King owned the Churches--and why not, sir, seein' it was his birthright, time out o' mind, beyond the flood? Well, the King (you see) was the right sort--he was the real boy, and loved sport as he loved his life, and huntin' in particular. From the risin' o' the sun up he got, and away he went over the mountains beyond after the deer: and the fine times them were. The deer was as plenty thin, aye truth, far more plentiful than the sheep is now. That's the way it was with the King, from the crow o' the cock to the song o' the redbreast.",Where did the king go to catch the deer?,"1. What was the name of the king?
2. When did he own the Churches?
3. Where were the Churches located?
4. Which Churches did he own?
5. Who was the king's favorite sport?
6. Why was the king so popular?
7. How was the king's life?","[0.23529411764705882, 0.26666666666666666, 0.2857142857142857, 0.14285714285714285, 0.25, 0.26666666666666666, 0.26666666666666666]","[0.9045954, 0.8983104, 0.8995753, 0.8893934, 0.8967073, 0.9185395, 0.9028426]","[0.35970938205718994, 0.22921133041381836, 0.29024431109428406, 0.2354149967432022, 0.3273128569126129, 0.26321402192115784, 0.3381294906139374]","[0.06311969078225892, 0.21515344521672802, 0.09554427922043669, 0.2295748846661433, 0.3655552228545123, 0.17567205239427922, 0.4347208719449914]"
135,136,"Well, it was all mighty good as long as the King had his health. But, you see, in coorse o' time, the King grew old, by reason he was stiff in his limbs, and when he got stricken in years, his heart failed him. He was lost entirely for want o' diversions, because he couldn't go a huntin' no longer. By dad, the poor King was obliged at last for to get a goose to distract him. You see, the goose used for to swim across the lake, and go down divin' for trout (and not finer trout in all Ireland than the same trout) and catch fish on a Friday for the King. If flew every other day round about the lake disctracting the poor King that you'd think he'd break his sides laughin' at the frolicksome tricks of his goose. So, in course o' time, the goose was the greatest pet in the country, and the biggest rogue, and distracted the King to no end. The poor King was as happy as the day was long. So that's the way it was. All went on mighty well until, by dad, the goose got stricken in years, as well as the King, and grew stiff in the limbs, like her master, and couldn't distract him no longer. Then it was that the poor King was lost completely, and didn't know what in the wide world to do. He was gone out of all distractions because the goose was no more in the flower of her blume.  ""Well, the King was nigh broken-hearted and melancholy entirely, and was walkin' one mornin' by the edge of the lake, lamentin' his cruel fate, an' thinkin' o' drownin' himself, that could get no diversion in life, when all of a sudden, turnin' round the corner beyond, who should he meet but a mighty decent young man comin' up to him.",Why did the king grow old?,"1. What was the King's health like before he got a goose to distract him?
2. How did the goose distract the King?
3. How did the goose become the greatest pet in the country?
4. How did the King's health change after he got a goose to distract him?
5. How did the King's health change after the goose died?
6. How did the King feel when he lost his goose?
7. What happened to the King after he lost his goose?","[0.18181818181818182, 0.4615384615384615, 0.23529411764705885, 0.28571428571428575, 0.3529411764705882, 0.37499999999999994, 0.25]","[0.90180385, 0.9414224, 0.9106155, 0.91132605, 0.9215446, 0.9229213, 0.91693527]","[0.2887203097343445, 0.31918609142303467, 0.3184817433357239, 0.3032522201538086, 0.310813307762146, 0.3217999339103699, 0.37975072860717773]","[0.5398995684986874, 0.3036387831876565, 0.23462350320528, 0.7952261526225969, 0.6865890479690392, 0.587728372510532, 0.4617366309441026]"
136,137,"Well, it was all mighty good as long as the King had his health. But, you see, in coorse o' time, the King grew old, by reason he was stiff in his limbs, and when he got stricken in years, his heart failed him. He was lost entirely for want o' diversions, because he couldn't go a huntin' no longer. By dad, the poor King was obliged at last for to get a goose to distract him. You see, the goose used for to swim across the lake, and go down divin' for trout (and not finer trout in all Ireland than the same trout) and catch fish on a Friday for the King. If flew every other day round about the lake disctracting the poor King that you'd think he'd break his sides laughin' at the frolicksome tricks of his goose. So, in course o' time, the goose was the greatest pet in the country, and the biggest rogue, and distracted the King to no end. The poor King was as happy as the day was long. So that's the way it was. All went on mighty well until, by dad, the goose got stricken in years, as well as the King, and grew stiff in the limbs, like her master, and couldn't distract him no longer. Then it was that the poor King was lost completely, and didn't know what in the wide world to do. He was gone out of all distractions because the goose was no more in the flower of her blume.  ""Well, the King was nigh broken-hearted and melancholy entirely, and was walkin' one mornin' by the edge of the lake, lamentin' his cruel fate, an' thinkin' o' drownin' himself, that could get no diversion in life, when all of a sudden, turnin' round the corner beyond, who should he meet but a mighty decent young man comin' up to him.",What did the goose swim across the lake for?,"1. What was the King's health like before he got a goose to distract him?
2. How did the goose distract the King?
3. How did the King's health change after he got a goose to distract him?
4. How did the King's health change after the goose died?
5. How did the King feel when he lost his goose?
6. What did the King do when he lost his goose?
7. How did the King feel when he met the young man?","[0.24000000000000005, 0.5, 0.25, 0.3, 0.3157894736842105, 0.4210526315789474, 0.3]","[0.88984805, 0.93361175, 0.8998203, 0.90991235, 0.90918297, 0.9132319, 0.89512795]","[0.344826877117157, 0.3413534164428711, 0.34064725041389465, 0.29654353857040405, 0.31996309757232666, 0.37530994415283203, 0.3060525059700012]","[0.5398995684986874, 0.14358191568383039, 0.7816275318041329, 0.6865890479690392, 0.9671682101338347, 0.6034148992419806, 0.5491004867761125]"
137,138,"Well, it was all mighty good as long as the King had his health. But, you see, in coorse o' time, the King grew old, by reason he was stiff in his limbs, and when he got stricken in years, his heart failed him. He was lost entirely for want o' diversions, because he couldn't go a huntin' no longer. By dad, the poor King was obliged at last for to get a goose to distract him. You see, the goose used for to swim across the lake, and go down divin' for trout (and not finer trout in all Ireland than the same trout) and catch fish on a Friday for the King. If flew every other day round about the lake disctracting the poor King that you'd think he'd break his sides laughin' at the frolicksome tricks of his goose. So, in course o' time, the goose was the greatest pet in the country, and the biggest rogue, and distracted the King to no end. The poor King was as happy as the day was long. So that's the way it was. All went on mighty well until, by dad, the goose got stricken in years, as well as the King, and grew stiff in the limbs, like her master, and couldn't distract him no longer. Then it was that the poor King was lost completely, and didn't know what in the wide world to do. He was gone out of all distractions because the goose was no more in the flower of her blume.  ""Well, the King was nigh broken-hearted and melancholy entirely, and was walkin' one mornin' by the edge of the lake, lamentin' his cruel fate, an' thinkin' o' drownin' himself, that could get no diversion in life, when all of a sudden, turnin' round the corner beyond, who should he meet but a mighty decent young man comin' up to him.",Who was the greatest pet?,"1. What was the King's health like before he got a goose to distract him?
2. How did the goose distract the King?
3. How did the goose become the greatest pet in the country?
4. How did the goose become the biggest rogue?
5. How did the King's health change after he got a goose to distract him?
6. How did the King's health change after the goose died?
7. How did the King feel after the goose died?","[0.19047619047619047, 0.16666666666666666, 0.37499999999999994, 0.15384615384615385, 0.1, 0.12500000000000003, 0.14285714285714285]","[0.86279714, 0.8876396, 0.89708966, 0.8870747, 0.86698645, 0.8748364, 0.87766165]","[0.2626306116580963, 0.22935746610164642, 0.38457727432250977, 0.241370290517807, 0.25513386726379395, 0.18993321061134338, 0.23421141505241394]","[0.5292031904718659, 0.3898799151050895, 0.43361890903486755, 0.6104735835807844, 0.7816275318041329, 0.9146912192286945, 0.6580370064762462]"
138,139,"Well, it was all mighty good as long as the King had his health. But, you see, in coorse o' time, the King grew old, by reason he was stiff in his limbs, and when he got stricken in years, his heart failed him. He was lost entirely for want o' diversions, because he couldn't go a huntin' no longer. By dad, the poor King was obliged at last for to get a goose to distract him. You see, the goose used for to swim across the lake, and go down divin' for trout (and not finer trout in all Ireland than the same trout) and catch fish on a Friday for the King. If flew every other day round about the lake disctracting the poor King that you'd think he'd break his sides laughin' at the frolicksome tricks of his goose. So, in course o' time, the goose was the greatest pet in the country, and the biggest rogue, and distracted the King to no end. The poor King was as happy as the day was long. So that's the way it was. All went on mighty well until, by dad, the goose got stricken in years, as well as the King, and grew stiff in the limbs, like her master, and couldn't distract him no longer. Then it was that the poor King was lost completely, and didn't know what in the wide world to do. He was gone out of all distractions because the goose was no more in the flower of her blume.  ""Well, the King was nigh broken-hearted and melancholy entirely, and was walkin' one mornin' by the edge of the lake, lamentin' his cruel fate, an' thinkin' o' drownin' himself, that could get no diversion in life, when all of a sudden, turnin' round the corner beyond, who should he meet but a mighty decent young man comin' up to him.",Why was the goose the greatest pet?,"1. What was the King's health like before he got a goose to distract him?
2. How did the goose distract the King?
3. How did the goose become the greatest pet in the country?
4. How did the goose become the biggest rogue?
5. How did the King's health change after he got a goose to distract him?
6. How did the King's health change after the goose died?
7. How did the King feel after the goose died?","[0.26086956521739124, 0.42857142857142855, 0.5555555555555556, 0.39999999999999997, 0.18181818181818182, 0.2222222222222222, 0.25]","[0.87937623, 0.919063, 0.9428647, 0.92814356, 0.89138013, 0.8972766, 0.89867246]","[0.33311426639556885, 0.34063833951950073, 0.713599443435669, 0.4534737467765808, 0.35583919286727905, 0.3105132579803467, 0.31529921293258667]","[0.5292031904718659, 0.3898799151050895, 0.43361890903486755, 0.6104735835807844, 0.7816275318041329, 0.9146912192286945, 0.6580370064762462]"
139,140,"Well, it was all mighty good as long as the King had his health. But, you see, in coorse o' time, the King grew old, by reason he was stiff in his limbs, and when he got stricken in years, his heart failed him. He was lost entirely for want o' diversions, because he couldn't go a huntin' no longer. By dad, the poor King was obliged at last for to get a goose to distract him. You see, the goose used for to swim across the lake, and go down divin' for trout (and not finer trout in all Ireland than the same trout) and catch fish on a Friday for the King. If flew every other day round about the lake disctracting the poor King that you'd think he'd break his sides laughin' at the frolicksome tricks of his goose. So, in course o' time, the goose was the greatest pet in the country, and the biggest rogue, and distracted the King to no end. The poor King was as happy as the day was long. So that's the way it was. All went on mighty well until, by dad, the goose got stricken in years, as well as the King, and grew stiff in the limbs, like her master, and couldn't distract him no longer. Then it was that the poor King was lost completely, and didn't know what in the wide world to do. He was gone out of all distractions because the goose was no more in the flower of her blume.  ""Well, the King was nigh broken-hearted and melancholy entirely, and was walkin' one mornin' by the edge of the lake, lamentin' his cruel fate, an' thinkin' o' drownin' himself, that could get no diversion in life, when all of a sudden, turnin' round the corner beyond, who should he meet but a mighty decent young man comin' up to him.",How did the king feel when the goose grew old and stiff?,"1. What was the King's health like before he got a goose to distract him?
2. How did the goose distract the King?
3. How did the goose become the greatest pet in the country?
4. How did the goose become the biggest rogue?
5. How did the King's health change after he got a goose to distract him?
6. How did the King's health change after the goose died?
7. How did the King feel after the goose died?","[0.21428571428571427, 0.4210526315789474, 0.34782608695652173, 0.4, 0.3703703703703704, 0.5217391304347826, 0.6666666666666666]","[0.8962597, 0.9223582, 0.8869934, 0.9003823, 0.9006674, 0.9202655, 0.9517673]","[0.4375200867652893, 0.4261575937271118, 0.38247406482696533, 0.35193467140197754, 0.4589639902114868, 0.489682674407959, 0.5620139241218567]","[0.5292031904718659, 0.3898799151050895, 0.43361890903486755, 0.6104735835807844, 0.7816275318041329, 0.9146912192286945, 0.6580370064762462]"
140,141,"Well, it was all mighty good as long as the King had his health. But, you see, in coorse o' time, the King grew old, by reason he was stiff in his limbs, and when he got stricken in years, his heart failed him. He was lost entirely for want o' diversions, because he couldn't go a huntin' no longer. By dad, the poor King was obliged at last for to get a goose to distract him. You see, the goose used for to swim across the lake, and go down divin' for trout (and not finer trout in all Ireland than the same trout) and catch fish on a Friday for the King. If flew every other day round about the lake disctracting the poor King that you'd think he'd break his sides laughin' at the frolicksome tricks of his goose. So, in course o' time, the goose was the greatest pet in the country, and the biggest rogue, and distracted the King to no end. The poor King was as happy as the day was long. So that's the way it was. All went on mighty well until, by dad, the goose got stricken in years, as well as the King, and grew stiff in the limbs, like her master, and couldn't distract him no longer. Then it was that the poor King was lost completely, and didn't know what in the wide world to do. He was gone out of all distractions because the goose was no more in the flower of her blume.  ""Well, the King was nigh broken-hearted and melancholy entirely, and was walkin' one mornin' by the edge of the lake, lamentin' his cruel fate, an' thinkin' o' drownin' himself, that could get no diversion in life, when all of a sudden, turnin' round the corner beyond, who should he meet but a mighty decent young man comin' up to him.",Who did the king meet around the corner?,"1. What was the King's health like before he got a goose to distract him?
2. How did the goose distract the King?
3. How did the goose become the greatest pet in the country?
4. How did the goose become the biggest rogue?
5. How did the King's health change after he got a goose to distract him?
6. How did the King's health change after the goose died?
7. How did the King feel after the goose died?","[0.16666666666666666, 0.39999999999999997, 0.3157894736842105, 0.375, 0.26086956521739135, 0.4210526315789474, 0.47058823529411764]","[0.8865188, 0.9311188, 0.8923877, 0.9069175, 0.89743286, 0.9048708, 0.9123592]","[0.28889673948287964, 0.28639376163482666, 0.26004594564437866, 0.21558673679828644, 0.27363941073417664, 0.2520250082015991, 0.31350934505462646]","[0.5292031904718659, 0.3898799151050895, 0.43361890903486755, 0.6104735835807844, 0.7816275318041329, 0.9146912192286945, 0.6580370064762462]"
141,142,"""'God save you,' says the King (for the King was a civil-spoken gentleman, by all accounts), 'God save you,' says he to the young man.  ""'God save you kindly,' says the young man to him back again. 'God save you, King O'Toole.'  ""'True for you,' says the King, 'I am King O'Toole,' says he. 'Prince and plennypennytinchery o' these parts,' says he. 'But how came you to know that?' says he.  ""'Oh, never mind,' says Saint Kavin (for 'twas he that was in it). 'And now, may I make bold to ask, how is your goose, King O'Toole?' says he.  ""'Blur-an-agers, how came you to know about my goose?' says the King.  ""'Oh, no mather. I was given to understand it,' says Saint Kavin.  ""'Oh, that's a folly to talk,' says the King, 'because myself and my goose is private friends,' says he, 'and no one could tell you,' says he, 'barrin' the fairies.'  ""'Oh, then, it wasn't the fairies,' says Saint Kavin. 'For I'd have you know,' says he, 'that I don't keep the likes o' such company.'  ""'You might do worse, then, my gay fellow,' says the King. 'For it's they could show you a crock o' money as easy as kiss hand. And that's not to be sneezed at,' says the King, 'by a poor man,' says he.  ""'Maybe I've a better way of making money myself,' says the saint.  ""'By gor,' says the King, 'barrin' you're a coiner,' says he, 'that's impossible!'  ""'I'd scorn to be the like, my lord!' says Saint Kavin, mighty high, 'I'd scorn to be the like,' says he.  ""'Then, what are you?' says the King, 'that makes money so easy, by your own account.'  ""'I'm an honest man,' says Saint Kavin.",Why was the king surprised Saint Kavin knew about the goose?,"1. How did you know that the King was a civil-spoken gentleman?
2. How did you know that the King was King O'Toole?
3. How did you know that the King had a goose?
4. How did you know that the King was a private friend of the goose?
5. How did you know that the King was a poor man?
6. How did you know that the King was a coiner?
7. How did you know that the King was an honest man?","[0.16666666666666669, 0.18181818181818182, 0.28571428571428564, 0.32, 0.18181818181818182, 0.1904761904761905, 0.18181818181818182]","[0.87668407, 0.8816254, 0.9199977, 0.9059568, 0.8997924, 0.8942164, 0.8972635]","[0.3404500484466553, 0.3301668167114258, 0.4866853952407837, 0.4553062319755554, 0.3501942753791809, 0.3114866018295288, 0.3666858673095703]","[0.5693803238877457, 0.6989307622784944, 0.6484115071397645, 0.5968774175634496, 0.7691605673134586, 0.8070557274927981, 0.670422683816333]"
142,143,"""'God save you,' says the King (for the King was a civil-spoken gentleman, by all accounts), 'God save you,' says he to the young man.  ""'God save you kindly,' says the young man to him back again. 'God save you, King O'Toole.'  ""'True for you,' says the King, 'I am King O'Toole,' says he. 'Prince and plennypennytinchery o' these parts,' says he. 'But how came you to know that?' says he.  ""'Oh, never mind,' says Saint Kavin (for 'twas he that was in it). 'And now, may I make bold to ask, how is your goose, King O'Toole?' says he.  ""'Blur-an-agers, how came you to know about my goose?' says the King.  ""'Oh, no mather. I was given to understand it,' says Saint Kavin.  ""'Oh, that's a folly to talk,' says the King, 'because myself and my goose is private friends,' says he, 'and no one could tell you,' says he, 'barrin' the fairies.'  ""'Oh, then, it wasn't the fairies,' says Saint Kavin. 'For I'd have you know,' says he, 'that I don't keep the likes o' such company.'  ""'You might do worse, then, my gay fellow,' says the King. 'For it's they could show you a crock o' money as easy as kiss hand. And that's not to be sneezed at,' says the King, 'by a poor man,' says he.  ""'Maybe I've a better way of making money myself,' says the saint.  ""'By gor,' says the King, 'barrin' you're a coiner,' says he, 'that's impossible!'  ""'I'd scorn to be the like, my lord!' says Saint Kavin, mighty high, 'I'd scorn to be the like,' says he.  ""'Then, what are you?' says the King, 'that makes money so easy, by your own account.'  ""'I'm an honest man,' says Saint Kavin.",Who did the king suspect told Saint Kavin about the goose?,"1. What is the name of the King?
2. What is the name of the young man?
3. What is the name of the saint?
4. What is the name of the goose?
5. How does the King know about the goose?
6. How does the saint know about the goose?
7. What is the purpose of the conversation?
8. What is the relationship between the King and the young man?
9. What is the relationship between the King and the saint?
10. What is the relationship between the young man and the saint?
11. What is the purpose of the conversation?
12. What is the relationship between the King and the young man?
13. What is the relationship between the King and the saint?
14. What is the relationship between the young man and the saint?
15. What is the purpose of the conversation?
16. What is the relationship between the King and the young man?
17. What is the relationship between the King and the saint?
18. What is the relationship between the young man and the saint?
19. What is the purpose of the conversation?
20. What is the relationship between the King and the young man?
21. What is the relationship between the King and the saint?
22. What is the relationship between the young man and the saint?
23. What is the purpose of the conversation?
24. What is the relationship between the King and the young man?
25. What is the relationship between the King and the saint?
26. What is the relationship between the young man and the saint?
27. What is the purpose of the conversation?
28. What is the relationship between the King and the young man?
29. What is the relationship between the King and the saint?
30. What is the relationship between the young man and the saint?
3","[0.2105263157894737, 0.2105263157894737, 0.2222222222222222, 0.33333333333333326, 0.5263157894736842, 0.5263157894736842, 0.2222222222222222, 0.2727272727272727, 0.28571428571428564, 0.18181818181818182, 0.2222222222222222, 0.2727272727272727, 0.28571428571428564, 0.18181818181818182, 0.2222222222222222, 0.2727272727272727, 0.28571428571428564, 0.18181818181818182, 0.2222222222222222, 0.2727272727272727, 0.28571428571428564, 0.18181818181818182, 0.2222222222222222, 0.2727272727272727, 0.28571428571428564, 0.18181818181818182, 0.2222222222222222, 0.2727272727272727, 0.28571428571428564, 0.17391304347826086]","[0.86744386, 0.8694331, 0.87244517, 0.8843856, 0.91707957, 0.91463804, 0.8592982, 0.88187575, 0.88698244, 0.8808219, 0.8592982, 0.88187575, 0.88698244, 0.8808219, 0.8592982, 0.88187575, 0.88698244, 0.8808219, 0.8592982, 0.88187575, 0.88698244, 0.8808219, 0.8592982, 0.88187575, 0.88698244, 0.8808219, 0.8592982, 0.88187575, 0.88698244, 0.87309235]","[0.3081374764442444, 0.31746548414230347, 0.3078591227531433, 0.3940029740333557, 0.4868537187576294, 0.45644891262054443, 0.2774891257286072, 0.3394750952720642, 0.3898324966430664, 0.34852343797683716, 0.2774891257286072, 0.3394750952720642, 0.3898324966430664, 0.34852343797683716, 0.2774891257286072, 0.3394750952720642, 0.3898324966430664, 0.34852343797683716, 0.2774891257286072, 0.3394750952720642, 0.3898324966430664, 0.34852343797683716, 0.2774891257286072, 0.3394750952720642, 0.3898324966430664, 0.34852343797683716, 0.2774891257286072, 0.3394750952720642, 0.3898324966430664, 0.33652621507644653]","[0.5814307369682193, 0.8694417438899827, 0.8408964152537145, 0.8408964152537145, 0.6389431042462724, 0.6389431042462724, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.912167909070388]"
143,144,"""'God save you,' says the King (for the King was a civil-spoken gentleman, by all accounts), 'God save you,' says he to the young man.  ""'God save you kindly,' says the young man to him back again. 'God save you, King O'Toole.'  ""'True for you,' says the King, 'I am King O'Toole,' says he. 'Prince and plennypennytinchery o' these parts,' says he. 'But how came you to know that?' says he.  ""'Oh, never mind,' says Saint Kavin (for 'twas he that was in it). 'And now, may I make bold to ask, how is your goose, King O'Toole?' says he.  ""'Blur-an-agers, how came you to know about my goose?' says the King.  ""'Oh, no mather. I was given to understand it,' says Saint Kavin.  ""'Oh, that's a folly to talk,' says the King, 'because myself and my goose is private friends,' says he, 'and no one could tell you,' says he, 'barrin' the fairies.'  ""'Oh, then, it wasn't the fairies,' says Saint Kavin. 'For I'd have you know,' says he, 'that I don't keep the likes o' such company.'  ""'You might do worse, then, my gay fellow,' says the King. 'For it's they could show you a crock o' money as easy as kiss hand. And that's not to be sneezed at,' says the King, 'by a poor man,' says he.  ""'Maybe I've a better way of making money myself,' says the saint.  ""'By gor,' says the King, 'barrin' you're a coiner,' says he, 'that's impossible!'  ""'I'd scorn to be the like, my lord!' says Saint Kavin, mighty high, 'I'd scorn to be the like,' says he.  ""'Then, what are you?' says the King, 'that makes money so easy, by your own account.'  ""'I'm an honest man,' says Saint Kavin.",Why did Saint Kavin say it wasn't the fairies that told him about the goose?,"1. What is the name of the King?
2. What is the name of the young man?
3. What is the name of the saint?
4. What is the name of the goose?
5. How did the King know about the goose?
6. How did the saint know about the goose?
7. How did the young man know about the goose?
8. What is the relationship between the King and the goose?
9. What is the relationship between the young man and the goose?
10. What is the relationship between the saint and the goose?
11. What is the relationship between the King and the saint?
12. What is the relationship between the young man and the saint?
13. What is the relationship between the King and the young man?
14. What is the relationship between the saint and the young man?
15. What is the relationship between the King and the young man?
16. What is the relationship between the saint and the young man?
17. What is the relationship between the King and the saint?
18. What is the relationship between the young man and the saint?
19. What is the relationship between the King and the goose?
20. What is the relationship between the young man and the goose?
21. What is the relationship between the saint and the goose?
22. What is the relationship between the King and the goose?
23. What is the relationship between the young man and the goose?
24. What is the relationship between the saint and the goose?
25. What is the relationship between the King and the young man?
26. What is the relationship between the saint and the young man?
27. What is the relationship between the King and the saint?
28. What is the relationship between the young man and the saint?
29. What","[0.16666666666666666, 0.16666666666666666, 0.17391304347826086, 0.26086956521739124, 0.4166666666666667, 0.4166666666666667, 0.39999999999999997, 0.23076923076923075, 0.2222222222222222, 0.23076923076923075, 0.15384615384615385, 0.14814814814814814, 0.14814814814814814, 0.14814814814814814, 0.14814814814814814, 0.14814814814814814, 0.15384615384615385, 0.14814814814814814, 0.23076923076923075, 0.2222222222222222, 0.23076923076923075, 0.23076923076923075, 0.2222222222222222, 0.23076923076923075, 0.14814814814814814, 0.14814814814814814, 0.15384615384615385, 0.14814814814814814, 0.0]","[0.86684203, 0.8688852, 0.8773734, 0.8896543, 0.9108907, 0.9119377, 0.90423083, 0.8884733, 0.8823002, 0.8931118, 0.8778778, 0.87884045, 0.87627, 0.8784165, 0.87627, 0.8784165, 0.8778778, 0.87884045, 0.8884733, 0.8823002, 0.8931118, 0.8884733, 0.8823002, 0.8931118, 0.87627, 0.8784165, 0.8778778, 0.87884045, 0.8089368]","[0.26435524225234985, 0.3260374665260315, 0.3285068869590759, 0.3847486972808838, 0.47637975215911865, 0.46077466011047363, 0.46551603078842163, 0.3964664936065674, 0.4045942425727844, 0.41836071014404297, 0.33215224742889404, 0.35095229744911194, 0.33602893352508545, 0.3615167438983917, 0.33602893352508545, 0.3615167438983917, 0.33215224742889404, 0.35095229744911194, 0.3964664936065674, 0.4045942425727844, 0.41836071014404297, 0.3964664936065674, 0.4045942425727844, 0.41836071014404297, 0.33602893352508545, 0.3615167438983917, 0.33215224742889404, 0.35095229744911194, 0.033538252115249634]","[0.5814307369682193, 0.8694417438899827, 0.8408964152537145, 0.8408964152537145, 0.6389431042462724, 0.6389431042462724, 0.631196907822589, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.00016215809237314185]"
144,145,"""'God save you,' says the King (for the King was a civil-spoken gentleman, by all accounts), 'God save you,' says he to the young man.  ""'God save you kindly,' says the young man to him back again. 'God save you, King O'Toole.'  ""'True for you,' says the King, 'I am King O'Toole,' says he. 'Prince and plennypennytinchery o' these parts,' says he. 'But how came you to know that?' says he.  ""'Oh, never mind,' says Saint Kavin (for 'twas he that was in it). 'And now, may I make bold to ask, how is your goose, King O'Toole?' says he.  ""'Blur-an-agers, how came you to know about my goose?' says the King.  ""'Oh, no mather. I was given to understand it,' says Saint Kavin.  ""'Oh, that's a folly to talk,' says the King, 'because myself and my goose is private friends,' says he, 'and no one could tell you,' says he, 'barrin' the fairies.'  ""'Oh, then, it wasn't the fairies,' says Saint Kavin. 'For I'd have you know,' says he, 'that I don't keep the likes o' such company.'  ""'You might do worse, then, my gay fellow,' says the King. 'For it's they could show you a crock o' money as easy as kiss hand. And that's not to be sneezed at,' says the King, 'by a poor man,' says he.  ""'Maybe I've a better way of making money myself,' says the saint.  ""'By gor,' says the King, 'barrin' you're a coiner,' says he, 'that's impossible!'  ""'I'd scorn to be the like, my lord!' says Saint Kavin, mighty high, 'I'd scorn to be the like,' says he.  ""'Then, what are you?' says the King, 'that makes money so easy, by your own account.'  ""'I'm an honest man,' says Saint Kavin.",What did Saint Kavin describe himself as?,"1. How did you know that the King was a civil-spoken gentleman?
2. How did you know that the King was King O'Toole?
3. How did you know that the King had a goose?
4. How did you know that the King was a private friend of the goose?
5. How did you know that the King was a poor man?
6. How did you know that the King was a coiner?
7. How did you know that Saint Kavin was an honest man?
1. How did you know that the King was a civil-spoken gentleman?
2. How did you know that the King was King O'Toole?
3. How did you know that the King had a goose?
4. How did you know that the King was a private friend of the goose?
5. How did you know that the King was a poor man?
6. How did you know that the King was a coiner?
7. How did you know that Saint Kavin was an honest man?","[0.1, 0.1111111111111111, 0.11764705882352941, 0.09523809523809523, 0.1111111111111111, 0.11764705882352941, 0.33333333333333326, 0.10526315789473685, 0.1111111111111111, 0.11764705882352941, 0.09523809523809523, 0.1111111111111111, 0.11764705882352941, 0.33333333333333326]","[0.8690793, 0.8665459, 0.87520516, 0.8714835, 0.8824261, 0.87898034, 0.9161957, 0.86595345, 0.8665459, 0.87520516, 0.8714835, 0.8824261, 0.87898034, 0.9161957]","[0.4133889079093933, 0.33826977014541626, 0.23862309753894806, 0.2909618020057678, 0.3602411150932312, 0.27796852588653564, 0.5551171898841858, 0.3906465768814087, 0.33826977014541626, 0.23862309753894806, 0.2909618020057678, 0.3602411150932312, 0.27796852588653564, 0.5551171898841858]","[0.7807675336587018, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
