,context,question,generated
357,"Open!' cried Gwrhyr.  'I will not open,' replied the porter.  'And wherefore?' asked Kai.  'The knife is in the meat, and the drink is in the horn, and there is revelry in the hall of Gwrnach the giant, and save for a craftsman who brings his trade the gate will not be opened to-night.'  'Verily, then, I may enter,' said Kai, 'for there is no better burnisher of swords than I.'  'This will I tell Gwrnach the giant, and I will bring thee his answer.'",Why did the porter consider letting in Kai?,Why didn't Gwrhyr open the gate?
358,"Bid the man come before me,' cried Gwrnach, when the porter had told his tale, 'for my sword stands much in need of polishing,' so Kai passed in and saluted Gwrnach the giant.  'Is it true what I hear of thee, that you can burnish swords?'  'It is true,' answered Kai. Then was the sword of Gwrnach brought to him.  'Shall it be burnished white or blue?' said Kai, taking a whetstone from under his arm.",Why did Gwrnach allow Kai in?,What did Kai ask Gwrnach to do?
359,"As you will,' answered the giant, and speedily did Kai polish half the sword. The giant marvelled at his skill, and said:  'It is a wonder that such a man as you should be without a companion.'  'I have a companion, noble sir, but he has no skill in this art.'  'What is his name?' asked the giant.  'Let the porter go forth, and I will tell him how he may know him. The head of his lance will leave its shaft, and draw blood from the wind, and descend upon its shaft again.' So the porter opened the gate and Bedwyr entered.",How did Gwrnach feel after he saw Kai's skill?,"How did the giant describe Kai's skill?, Who did the giant want Kai to bring with him?"
360,"Now there was much talk amongst those who remained without when the gate closed upon Bedwyr, and Goreu, son of Custennin, prevailed with the porter, and he and his companions got in also and hid themselves.  By this time the whole of the sword was polished, and Kai gave it into the hand of Gwrnach the giant, who felt it and said:  'Your work is good; I am content.'  Then said Kai:  'It is your scabbard that has rusted thy sword; give it to me that I may take out the wooden sides of it and put in new ones.' And he took the scabbard in one hand and the sword in the other, and came and stood behind the giant, as if he would have sheathed the sword in the scabbard. But with it he struck a blow at the head of the giant, and it rolled from his body. After that they despoiled the castle of its gold and jewels, and returned, bearing the sword of the giant, to Arthur's court.",How did Kai trick Gwrnach?,What did Kai do with the scabbard and sword?
361,"They told Arthur how they had sped, and they all took counsel together, and agreed that they must set out on the quest for Mabon the son of Modron, and Gwrhyr, who knew the languages of beasts and of birds, went with them. So they journeyed until they came to the nest of an ousel, and Gwrhyr spoke to her.  'Tell me if thou knowest aught of Mabon the son of Modron, who was taken when three nights old from between his mother and the wall.'  And the ousel answered:  'When I first came here I was a young bird, and there was a smith's anvil in this place. But from that time no work has been done upon it, save that every evening I have pecked at it, till now there is not so much as the size of a nut remaining thereof. Yet all that time I have never once heard of the man you name. Still, there is a race of beasts older than I, and I will guide you to them.'",What did the seven men need to do after they came back to Arthur's palace?,"What did the youths do after they decided to go on the quest for Mabon?, Who went on the quest with the youths?"
362,"They told Arthur how they had sped, and they all took counsel together, and agreed that they must set out on the quest for Mabon the son of Modron, and Gwrhyr, who knew the languages of beasts and of birds, went with them. So they journeyed until they came to the nest of an ousel, and Gwrhyr spoke to her.  'Tell me if thou knowest aught of Mabon the son of Modron, who was taken when three nights old from between his mother and the wall.'  And the ousel answered:  'When I first came here I was a young bird, and there was a smith's anvil in this place. But from that time no work has been done upon it, save that every evening I have pecked at it, till now there is not so much as the size of a nut remaining thereof. Yet all that time I have never once heard of the man you name. Still, there is a race of beasts older than I, and I will guide you to them.'",Where did the seven men go to find Mabon?,"What did the youths do after they met Gwrhyr?, What did the ousel tell Gwrhyr?, What did the ousel say she had never heard of?"
363,"They told Arthur how they had sped, and they all took counsel together, and agreed that they must set out on the quest for Mabon the son of Modron, and Gwrhyr, who knew the languages of beasts and of birds, went with them. So they journeyed until they came to the nest of an ousel, and Gwrhyr spoke to her.  'Tell me if thou knowest aught of Mabon the son of Modron, who was taken when three nights old from between his mother and the wall.'  And the ousel answered:  'When I first came here I was a young bird, and there was a smith's anvil in this place. But from that time no work has been done upon it, save that every evening I have pecked at it, till now there is not so much as the size of a nut remaining thereof. Yet all that time I have never once heard of the man you name. Still, there is a race of beasts older than I, and I will guide you to them.'",What did the ousel do after Gwrhyr spoke to it?,"What did the young men do after they decided to go on the quest for Mabon?, Who went on the quest with the young men?, What did the ousel do when it first came to the nest?, What did the ousel do after it came to the nest?"
364,"So the ousel flew before them, till she reached the stag of Redynvre; but when they inquired of the stag whether he knew aught of Mabon he shook his head.  'When first I came hither,' said he, 'the plain was bare save for one oak sapling, which grew up to be an oak with a hundred branches. All that is left of that oak is a withered stump, but never once have I heard of the man you name. Nevertheless, as you are Arthur's men, I will guide you to the place where there is an animal older than I'; and the stag ran before them till he reached the owl of Cwm Cawlwyd. But when they inquired of the owl if he knew aught of Mabon he shook his head.",Who did the ousel ask for help?,"What did the stag of Redynvre do when Arthur's men asked if he knew where Mabon was?, What did the stag of Redynvre do after he reached the plain?, What did the stag of Redynvre do after he reached the oak sapling?, What did the stag of Redynvre do after he reached the oak sapling?, What did the stag of Redynvre do after he reached the oak sapling?, What did the stag of Redynvre do after he reached the owl of Cwm Cawlwyd?"
365,"So the ousel flew before them, till she reached the stag of Redynvre; but when they inquired of the stag whether he knew aught of Mabon he shook his head.  'When first I came hither,' said he, 'the plain was bare save for one oak sapling, which grew up to be an oak with a hundred branches. All that is left of that oak is a withered stump, but never once have I heard of the man you name. Nevertheless, as you are Arthur's men, I will guide you to the place where there is an animal older than I'; and the stag ran before them till he reached the owl of Cwm Cawlwyd. But when they inquired of the owl if he knew aught of Mabon he shook his head.",What happened after the the stag asked the owl about Madon?,What did the stag of Redynvre do when Arthur's men asked if he knew anything about Mabon?
366,"So they followed the eagle, who flew before them, though so high was he in the sky, it was often hard to mark his flight. At length he stopped above a deep pool in a river.  'Salmon of Llyn Llyw,' he called, 'I have come to thee with an embassy from Arthur to inquire if thou knowest aught concerning Mabon the son of Modron.' And the salmon answered:  'As much as I know I will tell thee. With every tide I go up the river, till I reach the walls of Gloucester, and there have I found such wrong as I never found elsewhere. And that you may see that what I say is true let two of you go thither on my shoulders.' So Kai and Gwrhyr went upon the shoulders of the salmon, and were carried under the walls of the prison, from which proceeded the sound of great weeping.",Who knew how to find Madon?,Where did the eagle stop the two boys?
367,"Who is it that thus laments in this house of stone?'  'It is I, Mabon the son of Modron.'  'Will silver or gold bring thy freedom, or only battle and fighting?' asked Gwrhyr again.  'By fighting alone shall I be set free,' said Mabon.",How did Mabon feel while he was trapped in the prison?,What does Mabon want in order to be set free?
368,"Then they sent a messenger to Arthur to tell him that Mabon was found, and he brought all his warriors to the castle of Gloucester and fell fiercely upon it; while Kai and Bedwyr went on the shoulders of the salmon to the gate of the dungeon, and broke it down and carried away Mabon. And he now being free returned home with Arthur.  After this, on a certain day, as Gwythyr was walking across a mountain he heard a grievous cry, and he hastened towards it. In a little valley he saw the heather burning and the fire spreading fast towards the anthill, and all the ants were hurrying to and fro, not knowing whither to go. Gwythyr had pity on them, and put out the fire, and in gratitude the ants brought him the nine bushels of flax seed which Yspaddaden Penkawr required of Kilweh. And many of the other marvels were done likewise by Arthur and his knights, and at last it came to the fight with Trwyth the board, to obtain the comb and the scissors and the razor that lay between his ears. But hard was the boar to catch, and fiercely did he fight when Arthur's men gave him battle, so that many of them were slain.",What happened after the seven men found Mabon?,"What did Gwythyr do when he heard a grievous cry?, What did the ants do in gratitude?, What did many of the other marvels do?"
369,"Then they sent a messenger to Arthur to tell him that Mabon was found, and he brought all his warriors to the castle of Gloucester and fell fiercely upon it; while Kai and Bedwyr went on the shoulders of the salmon to the gate of the dungeon, and broke it down and carried away Mabon. And he now being free returned home with Arthur.  After this, on a certain day, as Gwythyr was walking across a mountain he heard a grievous cry, and he hastened towards it. In a little valley he saw the heather burning and the fire spreading fast towards the anthill, and all the ants were hurrying to and fro, not knowing whither to go. Gwythyr had pity on them, and put out the fire, and in gratitude the ants brought him the nine bushels of flax seed which Yspaddaden Penkawr required of Kilweh. And many of the other marvels were done likewise by Arthur and his knights, and at last it came to the fight with Trwyth the board, to obtain the comb and the scissors and the razor that lay between his ears. But hard was the boar to catch, and fiercely did he fight when Arthur's men gave him battle, so that many of them were slain.",Why did the ants give Hwythyr the nine bushels of flax seed which Yspaddaden Penkawr required of Kilweh?,"What did Gwythyr do when he heard a grievous cry?, What did the ants do in gratitude?, What did many of the other marvels do?"
370,"Up and down the country went Trwyth the boar, and Arthur followed after him, till they came to the Severn sea. There three knights caught his feet unawares and plunged him into the water, while one snatched the razor from him, and another seized the scissors. But before they laid hold of the comb he had shaken them all off, and neither man nor horse nor dog could reach him till he came to Cornwall, whither Arthur had sworn he should not go. Thither Arthur followed after him with his knights, and if it had been hard to win the razor and the scissors, the struggle for the comb was fiercer still, but at length Arthur prevailed, and the boar was driven into the sea. And whether he was drowned or where he went no man knows to this day.",How did the knights snatch the razor and scissors from Trwyth?,"What happened to Trwyth's feet unawares?, What did Arthur do to get the razor and scissors?"
371,"In the end all the marvels were done, and Kilweh set forward, and with him Goreu, the son of Custennin, to Yspaddaden Penkawr, bearing in their hands the razor, the scissors and the comb, and Yspaddaden Penkawr was shaved by Kaw.  'Is your daughter mine now?' asked Kilweh.  'She is yours,' answered Yspaddaden, 'but it is Arthur and none other who has won her for you. Of my own free will you should never have had her, for now I must lose my life.' And as he spake Goreu the son of Custennin cut off his head, as if had been ordained, and Arthur's hosts returned each man to his own country.",What happened after Kilweh won Olwen?,"How did Kilweh feel about winning Briona?, What did Kilweh and Goreu bring with them?, What did Kilweh do after he won Briona?, What happened after Kilweh and Goreu reached Yspaddaden Penkawr?, What did Kilweh do after he saw Briona?, What did Kilweh do after he saw Briona?, What did Kilweh do after he saw Briona?, What did Kilweh do after he saw Briona?, What did Kilweh do after he saw Briona?, What did Kilweh do after he saw Briona?, What did Kilweh do after he saw Briona?, What did Kilweh do after he saw Briona?, What did Kilweh do after he saw Briona?, What happened after Kilweh and Goreu reached Yspaddaden Penkawr?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after Kilweh saw Briona?, What happened after"
372,"Long, long ago, there once lived a king and a queen who had a daughter. One day, when the daughter went walking in the garden, a tremendous storm suddenly came up and carried her away with it. Now the storm had come from the bird with nine heads, who had robbed the princess, and brought her to his cave. The king did not know whither his daughter had disappeared, so he had proclaimed throughout the land: ""Whoever brings back the princess may have her for his bride!""",Who had robbed the princess?,"Who had a daughter?, What happened when the daughter went walking in the garden?, What did the king do when his daughter disappeared?, What did the king do to find his daughter?"
373,"Long, long ago, there once lived a king and a queen who had a daughter. One day, when the daughter went walking in the garden, a tremendous storm suddenly came up and carried her away with it. Now the storm had come from the bird with nine heads, who had robbed the princess, and brought her to his cave. The king did not know whither his daughter had disappeared, so he had proclaimed throughout the land: ""Whoever brings back the princess may have her for his bride!""",What did the king do when the princess disappeared?,"Who had a daughter?, What happened when the daughter went walking in the garden?, What did the king do when his daughter disappeared?, What did the king do to find his daughter?"
374,"Long, long ago, there once lived a king and a queen who had a daughter. One day, when the daughter went walking in the garden, a tremendous storm suddenly came up and carried her away with it. Now the storm had come from the bird with nine heads, who had robbed the princess, and brought her to his cave. The king did not know whither his daughter had disappeared, so he had proclaimed throughout the land: ""Whoever brings back the princess may have her for his bride!""",Where did the bird with nine heads take the princess?,"Who had a daughter?, What happened when the daughter went walking in the garden?, What did the king do when his daughter disappeared?, What did the king do to find his daughter?"
375,"Now a youth had seen the bird as he was carrying the princess to his cave. This cave, though, was in the middle of a sheer wall of rock. One could not climb up to it from below, nor could one climb down to it from above. And as the youth was walking around the rock, another youth came along and asked him what he was doing there. So the first youth told him that the bird with nine heads had carried off the king's daughter, and had brought her up to his cave. The other chap knew what he had to do. He called together his friends, and they lowered the youth to the cave in a basket.",What did the other chap do when he heard that the princess was taken?,"Who saw the bird as it was carrying the princess to its cave?, What did the other chap do after he knew what the first youth was doing there?"
376,"And when he went into the cave, he saw the king's daughter sitting there, and washing the wound of the bird with nine heads; for the hound of heaven had bitten off his tenth head, and his wound was still bleeding. The princess, however, motioned to the youth to hide, and he did so. When the king's daughter had washed his wound and bandaged it, the bird with nine heads felt so comfortable, that one after another, all his nine heads fell asleep. Then the youth stepped forth from his hiding-place, and cut off his nine heads with a sword. But the king's daughter said: ""It would be best if you were hauled up first, and I came after.""",What did the other chap see the princess doing?,What did the princess do when she saw the youth?
377,"""No,"" said the youth. ""I will wait below here, until you are in safety."" At first the king's daughter was not willing; yet at last she allowed herself to be persuaded, and climbed into the basket. But before she did so, she took a long pin from her hair, broke it into two halves and gave him one and kept the other. She also divided her silken kerchief with him, and told him to take good care of both her gifts. But when the other man had drawn up the king's daughter, he took her along with him, and left the youth in the cave, in spite of all his calling and pleading.",Why was the youth calling and pleading to the other chap?,Why did the king's daughter give the youth a pin and a silken kerchief?
378,"He then went on until he found a tortoise-shell full of beautiful pearls. But they were magic pearls, for if you flung them into the fire, the fire ceased to burn and if you flung them into the water, the water divided and you could walk through the midst of it. The youth took the pearls out of the tortoise-shell, and put them in his pocket. Not long after he reached the sea-shore. Here he flung a pearl into the sea, and at once the waters divided and he could see the sea-dragon. The sea-dragon cried: ""Who is disturbing me here in my own kingdom?"" The youth answered: ""I found pearls in a tortoise-shell, and have flung one into the sea, and now the waters have divided for me.""",What did the youth find on the ground?,"Why were the pearls magic?, What happened after the youth flung a pearl into the sea?, Who did the sea-dragon ask about?"
379,"When the other youth had brought back the king's daughter, it was decided to hold the wedding. But the king's daughter was not willing, and said: ""He is not the right man. My deliverer will come and bring with him half of the long pin for my hair, and half my silken kerchief as a token."" But when the youth did not appear for so long a time, and the other one pressed the king, the king grew impatient and said: ""The wedding shall take place to-morrow!"" Then the king's daughter went sadly through the streets of the city, and searched and searched in the hope of finding her deliverer.",Why didn't the princess want to marry the other youth?,"Why did the king's daughter not want to marry the other youth?, How did the king's daughter feel about the wedding?, What did the king's daughter do because she did not want to marry the other youth?"
380,"Among the mountain pastures and valleys that lie in the centre of France there dwelt a mischievous kind of spirit. It was this spirit's delight to play tricks on everybody, and particularly on the shepherds and the cowboys. They never knew when they were safe from him, as he could change himself into a man, woman or child, a stick, a goat, a ploughshare. Indeed, there was only one thing whose shape he could not take, and that was a needle. At least, he could transform himself into a needle, but try as he might he never was able to imitate the hole. Every woman would have found him out at once, and this he knew.  Now the hour oftenest chosen by this naughty sprite (whom we will call Puck) for performing his pranks was about midnight. This was just when the shepherds and cowherds, tired out with their long day's work, were sound asleep. Then he would go into the cowsheds and unfasten the chains that fixed each beast in its own stall, and let them fall with a heavy clang to the ground. The noise was so loud that it was certain to awaken the cowboys, however fatigued they might be. They dragged themselves wearily to the stable to put back the chains. But no sooner had they returned to their beds than the same thing happened again, and so on till the morning. Or perhaps Puck would spend his night in plaiting together the manes and tails of two of the horses, so that it would take the grooms hours of labour to get them right in the morning. Puck, hidden among the hay in the loft, would peep out to watch them, enjoying himself amazingly all the time.","Whose delight was it to play tricks on everybody, and particularly on the shepherds and the cowboys?","The spirit could change himself into a man, woman or child, a stick, a goat, a ploughshare, but he could not take the shape of a needle, only one thing whose shape he could not take, and that was a needle, he could transform himself into a needle, but try as he might he never was able to imitate the hole, every woman would have found him out at once, and this he knew, the spirit dwelt in the middle of France, among the mountain pastures and valleys, among the cowsheds, the spirit was a mischievous kind of spirit, it was this spirit's delight to play tricks on everybody, and particularly on the shepherds and the cowboys, they never knew when they were safe from him, as he could change himself into a man, woman or child, a stick, a goat, a ploughshare, the spirit could change himself into a man, woman or child, a stick, a goat, a ploughshare, but he could not take the shape of a needle, only one thing whose shape he could not take, and that was a needle, at least he could transform himself into a needle, but try as he might he never was able to imitate the hole, every woman would have found him out at once, and this he knew, the spirit dwelt in the middle of France, among the mountain pastures and valleys, among the cowsheds, the spirit was a mischievous kind of spirit, it was this spirit's delight to play tricks on everybody, and particularly on the shepherds and the cowboys, they never knew when they were safe from him, as he could change himself into a man, woman or child, a stick, a goat, a ploughshare, the spirit could change himself into a man, woman or child, a stick, a goat, a ploughshare, the spirit could change himself into a man, woman or child, a stick, a goat, a ploughshare, the spirit could change himself into a man, woman or child, a stick, a goat, a ploughshare, the spirit could change himself into a man, woman or child, a stick, a goat, a ploughshare, the spirit dwelt in the middle of France, among the mountain pastures and valleys, among the cowsheds, the spirit was a mischievous kind of spirit, it was this spirit's delight to play tr"
381,"Among the mountain pastures and valleys that lie in the centre of France there dwelt a mischievous kind of spirit. It was this spirit's delight to play tricks on everybody, and particularly on the shepherds and the cowboys. They never knew when they were safe from him, as he could change himself into a man, woman or child, a stick, a goat, a ploughshare. Indeed, there was only one thing whose shape he could not take, and that was a needle. At least, he could transform himself into a needle, but try as he might he never was able to imitate the hole. Every woman would have found him out at once, and this he knew.  Now the hour oftenest chosen by this naughty sprite (whom we will call Puck) for performing his pranks was about midnight. This was just when the shepherds and cowherds, tired out with their long day's work, were sound asleep. Then he would go into the cowsheds and unfasten the chains that fixed each beast in its own stall, and let them fall with a heavy clang to the ground. The noise was so loud that it was certain to awaken the cowboys, however fatigued they might be. They dragged themselves wearily to the stable to put back the chains. But no sooner had they returned to their beds than the same thing happened again, and so on till the morning. Or perhaps Puck would spend his night in plaiting together the manes and tails of two of the horses, so that it would take the grooms hours of labour to get them right in the morning. Puck, hidden among the hay in the loft, would peep out to watch them, enjoying himself amazingly all the time.",Why didn't everyone know when they were safe from the mischievous kind of spirit?,"The spirit could change himself into a man, woman, or child, a stick, a goat, or a ploughshare, but he could not take the shape of a needle, and he could not imitate the hole, only a needle could fit through it, and he knew this because he could not transform himself into a needle, and he knew that he could not imitate the hole, and he knew that he could not transform himself into a needle, and he knew that he could not imitate the hole, and he knew that he could not transform himself into a needle, and he knew that he could not imitate the hole, and he knew that he could not transform himself into a needle, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and he knew that he could not imitate the hole, and"
382,"Among the mountain pastures and valleys that lie in the centre of France there dwelt a mischievous kind of spirit. It was this spirit's delight to play tricks on everybody, and particularly on the shepherds and the cowboys. They never knew when they were safe from him, as he could change himself into a man, woman or child, a stick, a goat, a ploughshare. Indeed, there was only one thing whose shape he could not take, and that was a needle. At least, he could transform himself into a needle, but try as he might he never was able to imitate the hole. Every woman would have found him out at once, and this he knew.  Now the hour oftenest chosen by this naughty sprite (whom we will call Puck) for performing his pranks was about midnight. This was just when the shepherds and cowherds, tired out with their long day's work, were sound asleep. Then he would go into the cowsheds and unfasten the chains that fixed each beast in its own stall, and let them fall with a heavy clang to the ground. The noise was so loud that it was certain to awaken the cowboys, however fatigued they might be. They dragged themselves wearily to the stable to put back the chains. But no sooner had they returned to their beds than the same thing happened again, and so on till the morning. Or perhaps Puck would spend his night in plaiting together the manes and tails of two of the horses, so that it would take the grooms hours of labour to get them right in the morning. Puck, hidden among the hay in the loft, would peep out to watch them, enjoying himself amazingly all the time.",What couldn't the spirit change into?,"The spirit could change himself into a man, woman, or child, a stick, a goat, or a ploughshare, but he could not take the shape of a needle, and he could not imitate the hole, and he was always delighted to play tricks on the shepherds and cowboys, particularly on the shepherds and cowboys, and he would play tricks on them at about midnight, and he would let the chains fall to the ground, and he would plait the manes and tails of two horses together, and he would watch the cowboys and shepherds work, and he would enjoy himself amazingly all the time."
383,"Among the mountain pastures and valleys that lie in the centre of France there dwelt a mischievous kind of spirit. It was this spirit's delight to play tricks on everybody, and particularly on the shepherds and the cowboys. They never knew when they were safe from him, as he could change himself into a man, woman or child, a stick, a goat, a ploughshare. Indeed, there was only one thing whose shape he could not take, and that was a needle. At least, he could transform himself into a needle, but try as he might he never was able to imitate the hole. Every woman would have found him out at once, and this he knew.  Now the hour oftenest chosen by this naughty sprite (whom we will call Puck) for performing his pranks was about midnight. This was just when the shepherds and cowherds, tired out with their long day's work, were sound asleep. Then he would go into the cowsheds and unfasten the chains that fixed each beast in its own stall, and let them fall with a heavy clang to the ground. The noise was so loud that it was certain to awaken the cowboys, however fatigued they might be. They dragged themselves wearily to the stable to put back the chains. But no sooner had they returned to their beds than the same thing happened again, and so on till the morning. Or perhaps Puck would spend his night in plaiting together the manes and tails of two of the horses, so that it would take the grooms hours of labour to get them right in the morning. Puck, hidden among the hay in the loft, would peep out to watch them, enjoying himself amazingly all the time.",What was the sprite's name?,"The spirit could change himself into a man, woman or child, a stick, a goat, or a ploughshare, but he could not imitate the hole, only a needle, and he could not take the shape of a needle, he could only transform himself into a needle, but he never was able to imitate the hole, and he knew that women would have found him out at once, and this he knew, because he could not take the shape of a needle, and he knew that women would have found him out at once, and this he knew, because he could not imitate the hole, and he knew that women would have found him out at once, and this he knew, because he could not take the shape of a needle, and he knew that women would have found him out at once, and this he knew, because he could not imitate the hole, and he knew that women would have found him out at once, and this he knew, because he could not imitate the hole, and he knew that women would have found him out at once, and this he knew, because he could not take the shape of a needle, and he knew that women would have found him out at once, and this he knew, because he could not imitate the hole, and he knew that women would have found him out at once, and this he knew, because he could not imitate the hole, and he knew that women would have found him out at once, and this he knew, because he could not imitate the hole, and he knew that women would have found him out at once, and this he knew, because he could not imitate the hole, and he knew that women would have found him out at once, and this he knew, because he could not imitate the hole, and he knew that women would have found him out at once, and this he knew, because he could not imitate the hole, and he knew that women would have found him out at once, and this he knew, because he could not imitate the hole, and he knew that women would have found him out at once, and this he knew, because he could not imitate the hole, and he knew that women would have found him out at once, and this he knew, because he could not imitate the hole, and he knew that women would have found him out at once, and this he knew, because he could not imitate the hole, and he knew that women would have found him out at once, and this he knew, because he could"
384,"Among the mountain pastures and valleys that lie in the centre of France there dwelt a mischievous kind of spirit. It was this spirit's delight to play tricks on everybody, and particularly on the shepherds and the cowboys. They never knew when they were safe from him, as he could change himself into a man, woman or child, a stick, a goat, a ploughshare. Indeed, there was only one thing whose shape he could not take, and that was a needle. At least, he could transform himself into a needle, but try as he might he never was able to imitate the hole. Every woman would have found him out at once, and this he knew.  Now the hour oftenest chosen by this naughty sprite (whom we will call Puck) for performing his pranks was about midnight. This was just when the shepherds and cowherds, tired out with their long day's work, were sound asleep. Then he would go into the cowsheds and unfasten the chains that fixed each beast in its own stall, and let them fall with a heavy clang to the ground. The noise was so loud that it was certain to awaken the cowboys, however fatigued they might be. They dragged themselves wearily to the stable to put back the chains. But no sooner had they returned to their beds than the same thing happened again, and so on till the morning. Or perhaps Puck would spend his night in plaiting together the manes and tails of two of the horses, so that it would take the grooms hours of labour to get them right in the morning. Puck, hidden among the hay in the loft, would peep out to watch them, enjoying himself amazingly all the time.",What did the sprite do in the cowsheds?,"The spirit could change himself into a man, woman, or child, a stick, a goat, or a ploughshare, but he could not take the shape of a needle, and he could not imitate the hole, only a needle, according to the storyt"
385,"One evening more than eighty years ago a man named William was passing along the bank of a stream when he noticed a sheep who was bleating loudly. William thought it must have strayed from the flock, and that he had better take it home with him till he could discover its owner. So he went up to where it was standing, and as it seemed so tired that it could hardly walk, he hoisted it on his shoulders and continued on his way. The sheep was pretty heavy, but the good man was merciful and staggered along as best he could under his load.  'It is not much further,' he thought to himself as he reached an avenue of walnut trees, when suddenly a voice spoke out from over his head, and made him jump.  'Where are you?' said the voice, and the sheep answered:  'Here on the shoulders of a donkey.'  In another moment the sheep was standing on the ground and William was running towards home as fast as his legs would carry him. But as he went, a laugh, which yet was something of a bleat, rang in his ears. Though he tried not to hear, the words reached him, 'Oh, dear! What fun I have had, to be sure!'",What did William notice as he was passing by?,"Who was passing along the bank of a stream when he noticed a sheep?, Why did William decide to take the sheep home?, What did William do when he saw the sheep?, How did William feel when a voice spoke out from over his head?, What happened after the voice spoke out from over William's head?, What did William do after the voice spoke out from over his head?, What did William hear after the voice spoke out from over his head?, How did William feel after he heard the voice?, What did William do after he heard the voice?"
386,"One evening more than eighty years ago a man named William was passing along the bank of a stream when he noticed a sheep who was bleating loudly. William thought it must have strayed from the flock, and that he had better take it home with him till he could discover its owner. So he went up to where it was standing, and as it seemed so tired that it could hardly walk, he hoisted it on his shoulders and continued on his way. The sheep was pretty heavy, but the good man was merciful and staggered along as best he could under his load.  'It is not much further,' he thought to himself as he reached an avenue of walnut trees, when suddenly a voice spoke out from over his head, and made him jump.  'Where are you?' said the voice, and the sheep answered:  'Here on the shoulders of a donkey.'  In another moment the sheep was standing on the ground and William was running towards home as fast as his legs would carry him. But as he went, a laugh, which yet was something of a bleat, rang in his ears. Though he tried not to hear, the words reached him, 'Oh, dear! What fun I have had, to be sure!'",Why did William decide to take the sheep home with him?,"Who was passing along the bank of a stream when he noticed a sheep?, Why did William decide to take the sheep home?, How did William feel when a voice spoke out from over his head?, What happened after the voice spoke out from over his head?, How did William feel when the sheep was standing on the ground?"
